,순위,[분류]책이름,저자,출판사,가격
0,1위,[도서]트렌드 코리아 2026,"김난도, 전미영, 최지혜, 권정윤, 한다혜 저 외 7명       ",미래의창,"18,000원"
1,2위,[도서]처음 만나는 양자의 세계,채은미 저                            ,북플레저,"17,100원"
2,3위,[도서]대형주 추세추종 투자법칙,이종호(전황) 저                            ,사피엔테스,"19,800원"
3,4위,[도서]위버멘쉬,프리드리히 니체 저                           ,떠오름,"16,020원"
4,5위,[도서]박곰희 연금 부자 수업,박곰희 저                            ,인플루엔셜,"18,900원"
5,6위,[도서]주식 투자의 뿌리,박두환 저                            ,애덤스미스,"19,800원"
6,7위,[도서]절창 切創,구병모 저                            ,문학동네,"16,200원"
7,8위,[도서]다크 심리학,다크 사이드 프로젝트 저                        ,어센딩,"19,710원"
8,9위,[도서]단 한 줄만 내 마음에 새긴다고 해도,나민애 저                            ,포레스트북스,"21,420원"
9,10위,[도서]어른의 행복은 조용하다,태수 저                            ,페이지2북스,"16,020원"
10,11위,[도서]머니 트렌드 2026,"김도윤, 정태익, 김광석, 김승주, 김용섭 저 외 3명       ",북모먼트,"23,400원"
11,12위,[도서]어스탐 경의 임사전언,이영도 저                            ,황금가지,"18,000원"
12,13위,[도서]호의에 대하여,문형배 저                            ,김영사,"16,920원"
13,14위,[도서]렛뎀 이론,멜 로빈스 저/윤효원 역                        ,비즈니스북스,"18,000원"
14,15위,[도서]기분이 태도가 되지 않게 (헬로키티 에디션),레몬심리 저/박영란 역                         ,갤리온,"16,200원"
15,16위,[도서]혼모노,성해나 저                            ,창비,"16,200원"
16,17위,[도서]미야옹 마음 분식점 1 : 좀비 개가 나타나는 골목,주미 글/안병현 그림                          ,지구별아이,"13,320원"
17,18위,[도서]손자병법,손자 저/소준섭 역                           ,현대지성,"11,700원"
18,19위,[도서]결국 너의 시간은 온다,염경엽 저                            ,웅진지식하우스,"17,100원"
19,20위,[도서]스토너,존 윌리엄스 저/김승욱 역                       ,알에이치코리아(RHK),"15,120원"
20,21위,[도서]모순,양귀자 저                            ,쓰다,"11,700원"
21,22위,[도서]ETF 투자의 모든 것,문일호 저                            ,매일경제신문사,"18,900원"
22,23위,[도서]사이언스 2026,"내셔널지오그래픽 키즈 글/이한음, 김아림 역             ",비룡소,"25,200원"
23,24위,[만화]그 비스크 돌은 사랑을 한다 15 한정판,후쿠다 신이치 글그림/박연지 역                    ,소미미디어,"25,200원"
24,25위,[도서]부자 아빠 투자 불변의 법칙,타짱 저/박선영 역                           ,큰숲,"18,000원"
25,26위,[도서]진돗개 두 마리와 네덜란드에서 살고 있습니다,박혜령 저                            ,위즈덤하우스,"16,200원"
26,27위,[도서]류수영의 평생 레시피,류수영 저                            ,세미콜론,"22,500원"
27,28위,[도서]달러 자산 1억으로 평생 월급 완성하라 (2026 투자 전략 특별판),채부심(채상욱) 저                           ,몽스북 ,"18,900원"
28,29위,[만화]그 비스크 돌은 사랑을 한다 15,후쿠다 신이치 글그림/박연지 역                    ,소미미디어,"5,400원"
29,30위,[도서]사탄탱고,크러스너호르커이 라슬로 저/조원규 역                 ,알마,"17,820원"
30,31위,[도서]플스포의 메타인지 투자법,플스포(김동호) 저                           ,한국경제신문,"19,800원"
31,32위,[도서]초역 부처의 말,코이케 류노스케 저/박재현 역                     ,포레스트북스,"16,020원"
32,33위,[도서]밤과 나침반,하와이 대저택 저                            ,논픽션,"17,820원"
33,34위,[도서]ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저                            ,YBM(와이비엠),"17,820원"
34,35위,[도서]하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저                            ,위즈덤하우스,"21,420원"
35,36위,[도서]영어책 한 권 외워봤니?,김민식 저                            ,위즈덤하우스,"18,000원"
36,37위,[도서]언폴드 (UNFOLD),김경주 글그림                            ,후즈갓마이테일,"18,900원"
37,38위,[도서]돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절 저/이지연 역                       ,인플루엔셜,"17,820원"
38,39위,[도서]ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS 저                            ,YBM(와이비엠),"17,820원"
39,40위,[도서]어른의 품격을 채우는 100일 필사 노트,김종원 저                            ,청림Life,"18,000원"
40,41위,[도서]소년이 온다,한강 저                            ,창비,"13,500원"
41,42위,[도서]AI 2026 트렌드&활용백과,김덕진 저                            ,스마트북스,"22,500원"
42,43위,[도서]편안함의 습격,마이클 이스터 저/김원진 역                      ,수오서재,"19,800원"
43,44위,[도서]흔한남매 20,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수        ,미래엔아이세움,"15,120원"
44,45위,[만화]체인소 맨 21,후지모토 타츠키 글그림                         ,학산문화사,"5,400원"
45,46위,[만화]원피스 ONE PIECE 112,오다 에이이치로 글그림                         ,대원,"5,400원"
46,47위,[도서]서경석의 한국사 한 권,서경석 저/염명훈 감수                         ,창비교육,"16,920원"
47,48위,[도서]너를 미워할 시간에 나를 사랑하기로 했다,윤서진 저                            ,스몰빅라이프,"16,920원"
