,날짜,종목명,종가(백만원),거래량(천주),전일대비
0,20251124,KRX 건설,756.88,6081,시작일
1,20251124,KRX 자동차,2211.18,7772,시작일
2,20251124,KRX 헬스케어,4861.5,27673,시작일
3,20251125,KRX 건설,758.07,5175,증가
4,20251125,KRX 자동차,2215.05,6562,증가
5,20251125,KRX 헬스케어,4752.2,23585,감소
6,20251126,KRX 건설,787.14,7811,증가
7,20251126,KRX 자동차,2262.07,11557,증가
8,20251126,KRX 헬스케어,4873.34,24956,증가
9,20251127,KRX 건설,783.77,8948,감소
10,20251127,KRX 자동차,2296.52,14199,증가
11,20251127,KRX 헬스케어,4855.56,20680,감소
12,20251128,KRX 건설,789.41,15027,증가
13,20251128,KRX 자동차,2331.62,17723,증가
14,20251128,KRX 헬스케어,4989.18,31021,증가
15,20251201,KRX 건설,776.06,17355,감소
16,20251201,KRX 자동차,2294.57,11789,감소
17,20251201,KRX 헬스케어,5017.1,29249,증가
18,20251202,KRX 건설,785.34,9244,증가
19,20251202,KRX 자동차,2376.2,24411,증가
20,20251202,KRX 헬스케어,4979.9,25087,감소
21,20251203,KRX 건설,809.35,22793,증가
22,20251203,KRX 자동차,2415.51,14140,증가
23,20251203,KRX 헬스케어,4978.88,34928,감소
24,20251204,KRX 건설,799.81,17858,감소
25,20251204,KRX 자동차,2486.75,21996,증가
26,20251204,KRX 헬스케어,4990.91,29785,증가
27,20251205,KRX 건설,836.32,22471,증가
28,20251205,KRX 자동차,2607.52,22724,증가
29,20251205,KRX 헬스케어,4860.54,44557,감소
30,20251208,KRX 건설,822.35,29733,감소
31,20251208,KRX 자동차,2604.74,14134,감소
32,20251208,KRX 헬스케어,4806.33,36888,감소
33,20251209,KRX 건설,815.1,22556,감소
34,20251209,KRX 자동차,2559.72,12216,감소
35,20251209,KRX 헬스케어,4858.19,30994,증가
36,20251210,KRX 건설,812.28,13778,감소
37,20251210,KRX 자동차,2547.48,10938,감소
38,20251210,KRX 헬스케어,4899.63,33119,증가
39,20251211,KRX 건설,831.19,55445,증가
40,20251211,KRX 자동차,2516.66,16310,감소
41,20251211,KRX 헬스케어,4913.26,59600,증가
42,20251212,KRX 건설,869.81,88902,증가
43,20251212,KRX 자동차,2579.65,10633,증가
44,20251212,KRX 헬스케어,4865.25,45321,감소
45,20251215,KRX 건설,839.68,105706,감소
46,20251215,KRX 자동차,2532.83,8978,감소
47,20251215,KRX 헬스케어,4927.73,30104,증가
48,20251216,KRX 건설,816.94,86007,감소
49,20251216,KRX 자동차,2485.66,14758,감소
50,20251216,KRX 헬스케어,4881.5,38287,감소
51,20251217,KRX 건설,830.52,55711,증가
52,20251217,KRX 자동차,2509.42,20114,증가
53,20251217,KRX 헬스케어,4796.5,25323,감소
54,20251218,KRX 건설,819.46,61044,감소
55,20251218,KRX 자동차,2459.08,9597,감소
56,20251218,KRX 헬스케어,4775.98,21147,감소
57,20251219,KRX 건설,820.6,36010,증가
58,20251219,KRX 자동차,2515.84,12806,증가
59,20251219,KRX 헬스케어,4861.55,30168,증가
60,20251222,KRX 건설,832.91,53960,증가
61,20251222,KRX 자동차,2515.49,7222,감소
62,20251222,KRX 헬스케어,4810.27,13195,감소
