,날짜,종목명,종가(백만원),거래량(천주),전일대비
0,20250930,KRX 건설,768.06,5785558,0.0
1,20250930,KRX 자동차,1943.49,9983405,0.0
2,20250930,KRX 헬스케어,4300.21,21906771,0.0
3,20251001,KRX 건설,773.53,6922801,5.47
4,20251001,KRX 자동차,1939.15,4695037,-4.34
5,20251001,KRX 헬스케어,4310.45,19133635,10.24
6,20251002,KRX 건설,774.52,7349337,0.99
7,20251002,KRX 자동차,1969.88,8220561,30.73
8,20251002,KRX 헬스케어,4337.19,19613616,26.74
9,20251010,KRX 건설,788.26,11288559,13.74
10,20251010,KRX 자동차,1947.34,15487431,-22.54
11,20251010,KRX 헬스케어,4306.05,20284295,-31.14
12,20251013,KRX 건설,786.46,8443590,-1.8
13,20251013,KRX 자동차,1937.16,8574522,-10.18
14,20251013,KRX 헬스케어,4249.36,17599403,-56.69
15,20251014,KRX 건설,788.96,36232856,2.5
16,20251014,KRX 자동차,1969.98,10172371,32.82
17,20251014,KRX 헬스케어,4216.84,21466143,-32.52
18,20251015,KRX 건설,822.37,45891024,33.41
19,20251015,KRX 자동차,1990.01,7339034,20.03
20,20251015,KRX 헬스케어,4269.97,16407745,53.13
21,20251016,KRX 건설,813.93,14235330,-8.44
22,20251016,KRX 자동차,2088.13,18697804,98.12
23,20251016,KRX 헬스케어,4261.16,22341935,-8.81
24,20251017,KRX 건설,788.76,12199596,-25.17
25,20251017,KRX 자동차,2106.55,16579593,18.42
26,20251017,KRX 헬스케어,4230.75,32031933,-30.41
27,20251020,KRX 건설,790.95,8266025,2.19
28,20251020,KRX 자동차,2140.28,11721546,33.73
29,20251020,KRX 헬스케어,4326.28,24388069,95.53
30,20251021,KRX 건설,806.65,10264049,15.7
31,20251021,KRX 자동차,2172.83,17590290,32.55
32,20251021,KRX 헬스케어,4348.35,38608076,22.07
33,20251022,KRX 건설,814.08,6329698,7.43
34,20251022,KRX 자동차,2216.41,9399977,43.58
35,20251022,KRX 헬스케어,4363.19,17199917,14.84
36,20251023,KRX 건설,819.59,9592099,5.51
37,20251023,KRX 자동차,2155.79,7494600,-60.62
38,20251023,KRX 헬스케어,4305.73,22073686,-57.46
39,20251024,KRX 건설,847.39,20425092,27.8
40,20251024,KRX 자동차,2160.56,8202559,4.77
41,20251024,KRX 헬스케어,4303.76,30367282,-1.97
42,20251027,KRX 건설,849.25,14501459,1.86
43,20251027,KRX 자동차,2165.86,6818685,5.3
44,20251027,KRX 헬스케어,4538.69,48267239,234.93
45,20251028,KRX 건설,842.19,11752694,-7.06
46,20251028,KRX 자동차,2148.70,5898388,-17.16
47,20251028,KRX 헬스케어,4548.84,27400563,10.15
48,20251029,KRX 건설,861.92,14744385,19.73
49,20251029,KRX 자동차,2187.93,16725253,39.23
50,20251029,KRX 헬스케어,4494.43,35449718,-54.41
51,20251030,KRX 건설,831.74,12510565,-30.18
52,20251030,KRX 자동차,2199.02,22297775,11.09
53,20251030,KRX 헬스케어,4487.38,23957930,-7.05
54,20251031,KRX 건설,823.81,24948324,-7.93
55,20251031,KRX 자동차,2285.09,16430957,86.07
56,20251031,KRX 헬스케어,4591.25,29784641,103.87
57,20251103,KRX 건설,816.36,18368660,-7.45
58,20251103,KRX 자동차,2250.23,9528530,-34.86
59,20251103,KRX 헬스케어,4635.49,31580222,44.24
60,20251104,KRX 건설,814.00,12175259,-2.36
61,20251104,KRX 자동차,2193.33,9365033,-56.9
62,20251104,KRX 헬스케어,4787.29,49503036,151.8
63,20251105,KRX 건설,786.10,14376268,-27.9
64,20251105,KRX 자동차,2144.58,16047671,-48.75
