날짜,종목명,종가(백만원),거래량(천주)
20251219,KRX 자동차,"2,515.84","12,711"
20251219,KRX 헬스케어,"4,861.55","29,995"
20251219,KRX 건설,820.60,"35,260"
20251218,KRX 자동차,"2,459.08","9,597"
20251218,KRX 헬스케어,"4,775.98","21,147"
20251218,KRX 건설,819.46,"61,044"
20251217,KRX 자동차,"2,509.42","20,114"
20251217,KRX 헬스케어,"4,796.50","25,323"
20251217,KRX 건설,830.52,"55,711"
20251216,KRX 자동차,"2,485.66","14,758"
20251216,KRX 헬스케어,"4,881.50","38,287"
20251216,KRX 건설,816.94,"86,007"
20251215,KRX 자동차,"2,532.83","8,978"
20251215,KRX 헬스케어,"4,927.73","30,104"
20251215,KRX 건설,839.68,"105,706"
