본문,산업
"서울 여의도 신안산선 지하 공사 현장에서 사고로 다수의 부상자가 발생하고 50대 작업자 1명이 심정지 상태로 병원에 이송됐으나 결국 숨졌다.  소방과 경찰 등에 따르면 18일 오후 1시22분쯤 서울 여의도 신안산선 복선전철 70m 깊이 지하 공사 현장에서 '철근이 무너져 사람이 깔렸다'는 내용의 신고가 접수됐다.  사고 당시 작업장에는 98명이 일하던 중이었으며 이 사고로 3명의 부상자가 발생했다. 사망자는 콘크리트 타설 차량 운전자 50대 A씨다.  현장감리단에 따르면 사고는 지상과 연결 통로인 수직구로부터 약 150m 떨어진 곳에서 아치형 철근 작업을 마치고 콘크리트를 타설하는 작업 도중 발생했다. 상부에 고정돼 있던 30~40m 길이의 철근 구조물이 갑자기 떨어졌다.  소방 당국은 장비 23대와 인력 88명을 동원해 사고 현장을 수습하는 중이다. 소방과 경찰이 정확한 사고 경위를 파악할 때까지 신안산선 여의도 현장은 당분간 공사가 중단될 전망이다.  신안산선은 경기 안산시에서 서울 여의도까지 수도권 서남부를 잇는 길이 44.9km 광역철도 노선이다. 이날 사고가 발생한 4-2공구는 포스코이앤씨가 시공을 맡아 내년 12월31일까지 공사를 진행할 예정이었다.  현재 고용노동부는 서울지방고용노동청 광역중대재해수사과, 서울남부지청 산재예방지도과를 보내 사고조사에 착수했다. 고용노동부는 사고 원인 조사 및 산업안전보건법·중대재해처벌법 위반 여부 등을 엄정 조사할 방침이다.  국토교통부도 사고가 발생한 여의도역 신안산선 공사 현장 전체에 대한 전수조사를 실시한다고 밝혔다. 국토교통부는 경찰 사고 원인 조사 결과에 따라 안전관리 소홀 등 위반 사항 적발 시 관련 법령에 따라 엄중히 조치할 예정이다.  한편 송치형 포스코이앤씨 사장은 이날 오후 사고 현장을 찾아 ""고인의 명복 빌고 비보로 하늘 무너져 내리는 슬픔 안은 유족에게 깊은 위로와 사과의 말씀을 드린다""고 했다.  이어 ""사고 경위는 관계기관에서 조사 중이다. 우리 회사는 성실하고 투명하게 협조할 것""이라며 ""현재 전국에 저희 현장에 대해 다시 한번 안전조치 강화 지시를 내렸다. 유사 사고가 발생하지 않도록 재발 방지 대책에 만전을 기하겠다""고 덧붙였다.",건설
"서울 송파구 잠실대교 남단의 한 공사 현장에서 크레인이 전도되는 사고가 발생해 작업자가 매몰됐다.  18일 송파구청, 소방 당국 등에 따르면 이날 오후 3시19분쯤 서울 송파구 잠실대교 남단 나들목(IC) 연결체계 개선공사 현장에서 대기하고 있던 27톤 크레인이 전복됐다.  이 사고로 공사장 인부 60대 남성 1명이 매몰됐으며 소방당국은 심정지 상태인 것으로 보고 현재 구조 작업을 하고 있다.  해당 작업자는 잠실대교 남단 IC 연결체계 개선공사를 하던 중 사고를 당한 것으로 전해졌다.  소방 당국은 구조를 마친 뒤 자세한 사고 원인을 조사할 예정이다.  한편 송파구청은 ""오후 3시20분 잠실동 30 공사장 크레인 전도로 인해 올림픽대로에서 강일IC와 잠실역 방향 진입 구간 교통혼잡이 발생했으니 해당 구간을 우회하길 바란다""고 재난안전문자를 보냈다.",건설
"서울 영등포구 여의도 신안산선 공사현장에서 철근 구조물이 낙하하는 사고가 발상했다. 이 사고로 작업자 2명이 부상을 입고 병원으로 이송됐다. 1명은 심정지 상태다.  구본형 서울 영등포소방서 현장대응단장은 18일 오후 3시45분쯤 현장 브리핑에서 ""오늘 오후 1시22분쯤 신안산선 공사 현장에서 철근이 무너져 사람이 깔렸다는 신고를 받고 출동했다""며 ""작업자 98명 중 중상자 1명과 경상자 1명을 구조해 병원으로 이송했다""고 밝혔다.  소방에 따르면 이날 오후 1시22분쯤 여의도역 신안산선 지하차도 공사현장에서 철근이 무너져 사람이 깔렸다는 신고가 접수됐다. 작업자 1명이 심정지 상태로 발견돼 심폐소생술(CPR)을 받으며 인근 병원으로 이송됐다. 또 다른 작업자 1명은 경상을 입었다. 이들은 모두 한국인 남성이며 50대로 추정된다. 이외에도 외국인 작업자 1명이 경미한 찰과상을 입었으나 스스로 귀가했다. 나머지 작업자들은 자력 대피했다.  사고는 이날 신안산선 여의도역 콘크리트 타설 작업 도중 철근 구조물이 무너지며 발생했다. 구 단장은 ""중상자는 콘크리트 타설 차량 운전자로, 작업 중 철근이 낙하해 부상을 입었다""며 ""경상자도 타설 작업 중 다쳤다""고 설명했다.  낙하한 철근 구조물은 총 40m 길이였다. 사고 지점은 70m 깊이 지하 작업장의 지상 연결 통로인 수직구로부터 150m 가량 떨어진 여의도역 시작점이다.  감리단은 현장 안전 관리에 문제가 없었다고 설명했다. 이상욱 신안산선 공사현장 감리단장은 ""터널의 치장 목적인 라인 작업 중 사고가 발생했다""며 ""터널의 구조적 결함 등 (안전 관리에는) 하자가 없었다""고 했다. 이어 ""낙하 이유 등 사고 원인은 경찰과 조사해봐야 한다""며 ""조사 결과가 나올 때까지 공사를 멈출 것""이라고 밝혔다.  소방은 신고를 접수하고 초기 구조대 3개대를 투입해 인명구조 활동을 펼쳤다. 2차 사고 발생 방지를 위해 영등포구청, 보건소 등 유관기관에도 협조를 요청했다. 이날 현장에는 소방 88명, 경찰 170명 등 인력 292명과 장비 76대가 투입됐다.  사고 현장 인근 도로 통제는 오후 4시10분을 기점으로 해제됐다.  소방과 경찰은 정확한 사고 경위를 파악하고 있다.",건설
"가덕도신공항건설공단과 한국수자원공사가 18일 가덕도신공항 건설사업의 성공적 추진과 부산에코델타시티(EDC)의 활성화 업무협약을 체결했다.  두 기관은 앞으로 △가덕도신공항 건설사업으로 인한 이주 대상자의 성공적 정착 지원 △에코델타시티 활성화를 위한 에코델타시티 내 공단 사옥 이전 △탄소중립·스마트 인프라 구축 공동 추진 등을 협력한다.  정임수 가덕도신공항건설공단 부이사장은 ""신공항 건설과 에코델타시티 조성은 글로벌허브도시 부산 완성과 동남권 혁신성장을 위한 거대한 프로젝트""라며 ""신공항건설 예정지역 주민의 안정적 정착과 에코델타시티로 사옥 이전으로 도시 활성화에 기여하겠다""고 말했다.  안정호 한국수자원공사 그린인프라부문 이사는 ""친환경 기반의 미래 도시 조성은 두 기관이 협력할 때 큰 성과를 낼 수 있다""며 ""스마트·탄소중립 인프라 구축에 적극 협력하겠다""고 밝혔다.",건설
"GS건설이 하루 10만톤의 해수를 공장 운영에 필요한 용수로 바꿀 수 있는 시설을 준공하고 내년부터 가동에 들어간다. 안정적인 공업용수 공급 등 물 관련사업분야 확대 기반 마련했다는 평가다.  GS건설은 충남 대산임해산업지역 공업용수도(해수담수화) 준공식을 진행했다고 18일 밝혔다. 준공식에는 기후에너지환경부, 한국수자원공사, GS건설 등 내외빈 100여명이 참석했다.  이번에 준공한 대산임해산업지역 공업용수도 사업은 정유, 화학 등 다수의 생산공장이 위치한 충남 서산 대산산업단지에 해수담수화를 통해 안정적인 공업용수를 공급하기 위해 한국수자원공사(K-water)가 발주한 사업이다. 총 사업비 3175억원 규모의 현재 시점 기준 국내 최대 규모의 해수담수화 시설이다.  GS건설이 지난 2021년에 착공해 취수펌프장, 이중여과시설, RO설비, 폐수처리동 등 일일 10만톤의 해수를 공장을 운영하는데 필요한 용수로 바꿀 수 있는 시설이다. 내년부터 가동을 시작할 예정이다.  대산임해 공업용수도 시설은 비상상황에도 공업용수가 중단되는 상황을 막기 위해 관로 시설을 이중화 했다. 계단식 시설 배치로 운영 효율성도 높였다. 해수를 담수화 하는 기술에는 기존의 증발식 공법 대비 에너지 효율이 우수한 역삼투(RO) 기술이 활용됐다. 에너지회수장치(ERD)를 통해 에너지 소모를 줄일 수 있어 공업용수 생산과 함께 운영비 절감 효과도 기대된다.  GS건설 관계자는 ""기후변화에 따른 국내외 물 부족 해소에 나설 것""이라며 ""국가첨단전략산업에 필요한 공업용수의 안정적인 공급 확대 기반을 마련했다""고 말했다.",건설
"김성은 덕진종합건설 대표이사가 대한주택건설협회 제14대 중앙회장으로 선출됐다.  주택건설협회는 18일 제36차 정기총회를 열고 신임회장을 비롯한 임원진을 선출했다고 밝혔다. 울산·경남도회장인 김성은 신임 중앙회장은 단독출마해 무투표 당선됐다. 신임 회장의 임기(3년)는 내년 1월1일부터 시작된다.  김 회장은 ""실물경제 침체로 주택시장이 위축됨에 따라 중견·중소주택건설업체의 사업 여건이 갈수록 악화되고 있다""며 ""어려운 시기에 중책을 맡게 돼 막중한 책임감이 앞선다""고 당선 소감을 전했다.  이어 ""그동안 협회 임원을 했던 경험을 토대로 회원업체들이 지금의 위기 상황을 슬기롭게 극복해 국민주거수준 향상과 주택산업 발전에 이바지할 수 있도록 혼신의 노력을 기울이겠다""고 덧붙였다.",건설
"서울 영등포구 여의도 신안산선 공사 현장에서 작업자 3명이 다치는 사고가 발생했다. 1명은 심정지 상태로 발견됐다.  소방당국에 따르면 18일 오후 1시22분쯤 여의도역 2번 출구 앞 신안산선 지하차도 공사현장에서 철근이 무너져 작업자 3명이 부상을 입는 사고가 발생했다.  50대 남성 1명이 심정지 상태로 발견돼 심폐소생술(CPR)을 받으며 인근 병원으로 이송됐다. 또 다른 50대 남성과 30대 남성은 발목 등 부위에 경상을 입었다. 나머지 7명은 부상 없이 구조됐다.  소방 당국은 장비 23대와 인력 88명을 동원해 사고 현장을 수습했다.  소방 관계자는 ""지하 약 70m 지점에서 작업 도중 철근이 무너지면서 사고가 난 것으로 보고 있다""며 ""정확한 사고 경위를 파악 중""이라고 밝혔다.",건설
서울 여의도 신안산선 공사 현장에서 철근이 추락하는 사고가 발생했다.  18일 오후 1시 22분쯤 서울 여의도 신안산선 복선전철 지하 공사 현장에서 사고가 발생해 최소 2명이 다쳤다.  소방 당국은 장비 23대와 인력 88명을 동원해 사고 현장을 수습하고 있다.  지하 작업 도중 철근이 추락하며 밑에서 일하던 작업자가 다친 것으로 알려졌다.  소방 당국은 정확한 사고 경위를 파악하고 있다.,건설
"조달청은 18일 부산광역시 기장군에 위치한 '부산촬영소 건립공사' 현장을 방문, 중대재해에 취약한 고위험 작업에 대한 특별점검을 실시했다.  ' 부산촬영소'는 실내 스튜디오 3개동과 아트 워크시설 등 연면적 1만2631㎡ 규모의 영화제작 지원시설이다. 내년 8월 준공되면 부산이 아시아 영화·영상산업의 메카로 거듭나는데 중요한 역할을 할 것으로 기대된다.  ' 부산촬영소' 현장은 실내 스튜디오 층고가 20m에 달해 공사의 난이도가 높고 고소작업이 많아 근로자 추락 및 낙하물 위험 방지 등 각별한 안전관리가 요구된다.  이날 점검에서는 시스템 비계와 갱폼 등 중량 자재가 사용되는 고위험 작업에 대한 크레인 양중 및 고소작업에 대한 안전관리 실태를 중점 점검했다.  이번 특별점검은 최근 광주를 비롯해 전국 건설현장에서 발생하고 있는 중대재해를 방지하기 위해 이뤄졌다.  권혁재 시설사업국장은 ""안전은 무엇보다 지켜야 할 건설현장의 최우선의 가치""라며 ""근로자의 생명과 가족의 행복을 지킬 수 있도록 만전을 기해 달라""고 말했다.",건설
"행정안전부는 윤호중 장관이 18일 본격적인 겨울철을 맞아 서울 지역의 제설상황과 초고층건축물 화재 안전관리 현장을 점검했다고 밝혔다.  이번 점검은 수도권 지역의 제설 대응 체계를 보완하고 최근 발생한 홍콩 고층아파트 화재를 계기로 마련한 '고층건축물 긴급 화재안전 대책'의 현장 작동 체계를 확인하기 위해 마련됐다.  윤 장관은 제설발진기지인 남부도로사업소를 방문해 서울시 대설 대책 전반을 점검하며 지난 4일과 같은 강설로 인한 시민 불편이 반복되지 않도록 해달라고 당부했다.  서울시는 출퇴근 시간 이전에 제설제를 미리 살포하고 인접 지역과 도로 경계구간에서 제설 공백이 발생하지 않도록 상황 공유 체계를 강화할 예정이다. 자동제설장치 등 제설 자원 설치도 확대할 방침이다.  윤 장관은 교통량이 집중되는 출퇴근 시간대에는 비상근무 단계를 강화하고 제설 취약지역·시설을 중심으로 관계기관이 협업해 선제적으로 대응해 줄 것을 강조했다.  윤 장관은 이날 여의도에 위치한 초고층건축물인 '파크원'(지상 69층~지하 7층)을 방문해 초고층건축물 화재 안전관리 실태도 점검했다.  초고층건축물 화재 대응의 핵심인 피난안전구역, 옥상 헬리포트, 종합방재실을 돌아보며 화재 대응체계와 소방 및 대피시설을 살폈다.  윤 장관은 화재로 인한 인명피해를 예방하기 위해 건물 내 근무자가 혼란 없이 대피할 수 있도록 평소 대피동선을 면밀히 점검하고, 안전시설이 실제 상황에서도 정상 작동하도록 철저한 관리를 주문했다.  윤 장관은 ""정부는 국민께서 안전하게 겨울을 보낼 수 있도록 필요한 예방 조치를 꼼꼼히 챙기고, 지난 4일 대설로 인한 국민 불편이 다시 반복되지 않도록 개선된 대설 대책 추진에 철저를 기하겠다""고 강조했다. 또 ""우리나라의 30층 이상 고층건축물 총 6500여동을 전수 점검해 선제적으로 위험 요인을 해소하겠다""며 ""국민께서도 비상 대피경로와 피난시설을 미리 확인해 주시길 부탁드린다""고 말했다.",건설
