,날짜,종목명,종가(백만원),거래량(천주),전일대비
0,20250930,KRX 건설,768.06,5785558,시작일
1,20250930,KRX 자동차,1943.49,9983405,시작일
2,20250930,KRX 헬스케어,4300.21,21906771,시작일
3,20251001,KRX 건설,773.53,6922801,증가
4,20251001,KRX 자동차,1939.15,4695037,감소
5,20251001,KRX 헬스케어,4310.45,19133635,증가
6,20251002,KRX 건설,774.52,7349337,증가
7,20251002,KRX 자동차,1969.88,8220561,증가
8,20251002,KRX 헬스케어,4337.19,19613616,증가
9,20251010,KRX 건설,788.26,11288559,증가
10,20251010,KRX 자동차,1947.34,15487431,감소
11,20251010,KRX 헬스케어,4306.05,20284295,감소
12,20251013,KRX 건설,786.46,8443590,감소
13,20251013,KRX 자동차,1937.16,8574522,감소
14,20251013,KRX 헬스케어,4249.36,17599403,감소
15,20251014,KRX 건설,788.96,36232856,증가
16,20251014,KRX 자동차,1969.98,10172371,증가
17,20251014,KRX 헬스케어,4216.84,21466143,감소
18,20251015,KRX 건설,822.37,45891024,증가
19,20251015,KRX 자동차,1990.01,7339034,증가
20,20251015,KRX 헬스케어,4269.97,16407745,증가
21,20251016,KRX 건설,813.93,14235330,감소
22,20251016,KRX 자동차,2088.13,18697804,증가
23,20251016,KRX 헬스케어,4261.16,22341935,감소
24,20251017,KRX 건설,788.76,12199596,감소
25,20251017,KRX 자동차,2106.55,16579593,증가
26,20251017,KRX 헬스케어,4230.75,32031933,감소
27,20251020,KRX 건설,790.95,8266025,증가
28,20251020,KRX 자동차,2140.28,11721546,증가
29,20251020,KRX 헬스케어,4326.28,24388069,증가
30,20251021,KRX 건설,806.65,10264049,증가
31,20251021,KRX 자동차,2172.83,17590290,증가
32,20251021,KRX 헬스케어,4348.35,38608076,증가
33,20251022,KRX 건설,814.08,6329698,증가
34,20251022,KRX 자동차,2216.41,9399977,증가
35,20251022,KRX 헬스케어,4363.19,17199917,증가
36,20251023,KRX 건설,819.59,9592099,증가
37,20251023,KRX 자동차,2155.79,7494600,감소
38,20251023,KRX 헬스케어,4305.73,22073686,감소
39,20251024,KRX 건설,847.39,20425092,증가
40,20251024,KRX 자동차,2160.56,8202559,증가
41,20251024,KRX 헬스케어,4303.76,30367282,감소
42,20251027,KRX 건설,849.25,14501459,증가
43,20251027,KRX 자동차,2165.86,6818685,증가
44,20251027,KRX 헬스케어,4538.69,48267239,증가
45,20251028,KRX 건설,842.19,11752694,감소
46,20251028,KRX 자동차,2148.70,5898388,감소
47,20251028,KRX 헬스케어,4548.84,27400563,증가
48,20251029,KRX 건설,861.92,14744385,증가
49,20251029,KRX 자동차,2187.93,16725253,증가
50,20251029,KRX 헬스케어,4494.43,35449718,감소
51,20251030,KRX 건설,831.74,12510565,감소
52,20251030,KRX 자동차,2199.02,22297775,증가
53,20251030,KRX 헬스케어,4487.38,23957930,감소
54,20251031,KRX 건설,823.81,24948324,감소
55,20251031,KRX 자동차,2285.09,16430957,증가
56,20251031,KRX 헬스케어,4591.25,29784641,증가
57,20251103,KRX 건설,816.36,18368660,감소
58,20251103,KRX 자동차,2250.23,9528530,감소
59,20251103,KRX 헬스케어,4635.49,31580222,증가
60,20251104,KRX 건설,814.00,12175259,감소
61,20251104,KRX 자동차,2193.33,9365033,감소
62,20251104,KRX 헬스케어,4787.29,49503036,증가
63,20251105,KRX 건설,786.10,14376268,감소
64,20251105,KRX 자동차,2144.58,16047671,감소
65,20251105,KRX 헬스케어,4714.18,60407548,감소
66,20251106,KRX 건설,789.91,10431318,증가
67,20251106,KRX 자동차,2172.27,11758158,증가
68,20251106,KRX 헬스케어,4700.18,40067363,감소
69,20251107,KRX 건설,771.53,15039813,감소
70,20251107,KRX 자동차,2153.35,11945030,감소
71,20251107,KRX 헬스케어,4641.60,25611077,감소
72,20251110,KRX 건설,787.72,6204445,증가
73,20251110,KRX 자동차,2270.57,14436702,증가
74,20251110,KRX 헬스케어,4644.50,21978096,증가
75,20251111,KRX 건설,786.81,7566701,감소
76,20251111,KRX 자동차,2283.25,13278234,증가
77,20251111,KRX 헬스케어,4594.27,30562977,감소
78,20251112,KRX 건설,788.72,6327046,증가
79,20251112,KRX 자동차,2306.59,11989294,증가
80,20251112,KRX 헬스케어,4862.40,43221648,증가
81,20251113,KRX 건설,798.98,7696800,증가
82,20251113,KRX 자동차,2314.73,9198732,증가
83,20251113,KRX 헬스케어,5006.48,52094424,증가
84,20251114,KRX 건설,780.22,7572670,감소
85,20251114,KRX 자동차,2280.69,8029623,감소
86,20251114,KRX 헬스케어,5030.92,38468969,증가
87,20251117,KRX 건설,786.34,6564762,증가
88,20251117,KRX 자동차,2263.98,6242273,감소
89,20251117,KRX 헬스케어,5032.98,46100552,증가
90,20251118,KRX 건설,757.62,7788867,감소
91,20251118,KRX 자동차,2201.87,6874259,감소
92,20251118,KRX 헬스케어,4959.02,26494143,감소
93,20251119,KRX 건설,761.10,7292125,증가
94,20251119,KRX 자동차,2223.92,6872309,증가
95,20251119,KRX 헬스케어,4907.71,25343852,감소
96,20251120,KRX 건설,772.78,5822130,증가
97,20251120,KRX 자동차,2226.79,6023478,증가
98,20251120,KRX 헬스케어,5034.38,28390337,증가
99,20251121,KRX 건설,759.32,5646103,감소
100,20251121,KRX 자동차,2220.40,7222410,감소
101,20251121,KRX 헬스케어,4965.03,23805314,감소
102,20251124,KRX 건설,756.88,6080959,감소
103,20251124,KRX 자동차,2211.18,7771900,감소
104,20251124,KRX 헬스케어,4861.50,27672949,감소
105,20251125,KRX 건설,758.07,5175190,증가
106,20251125,KRX 자동차,2215.05,6561664,증가
107,20251125,KRX 헬스케어,4752.20,23585420,감소
108,20251126,KRX 건설,787.14,7810898,증가
109,20251126,KRX 자동차,2262.07,11557279,증가
110,20251126,KRX 헬스케어,4873.34,24956388,증가
111,20251127,KRX 건설,783.77,8947500,감소
112,20251127,KRX 자동차,2296.52,14198714,증가
113,20251127,KRX 헬스케어,4855.56,20680350,감소
114,20251128,KRX 건설,789.41,15026877,증가
115,20251128,KRX 자동차,2331.62,17722548,증가
116,20251128,KRX 헬스케어,4989.18,31020906,증가
117,20251201,KRX 건설,776.06,17354924,감소
118,20251201,KRX 자동차,2294.57,11788631,감소
119,20251201,KRX 헬스케어,5017.10,29249151,증가
120,20251202,KRX 건설,785.34,9243773,증가
121,20251202,KRX 자동차,2376.20,24410590,증가
122,20251202,KRX 헬스케어,4979.90,25087224,감소
123,20251203,KRX 건설,809.35,22793329,증가
124,20251203,KRX 자동차,2415.51,14140013,증가
125,20251203,KRX 헬스케어,4978.88,34927632,감소
126,20251204,KRX 건설,799.81,17857879,감소
127,20251204,KRX 자동차,2486.75,21995673,증가
128,20251204,KRX 헬스케어,4990.91,29784525,증가
129,20251205,KRX 건설,836.32,22471156,증가
130,20251205,KRX 자동차,2607.52,22723844,증가
131,20251205,KRX 헬스케어,4860.54,44556559,감소
132,20251208,KRX 건설,822.35,29733091,감소
133,20251208,KRX 자동차,2604.74,14134245,감소
134,20251208,KRX 헬스케어,4806.33,36887536,감소
135,20251209,KRX 건설,815.10,22556277,감소
136,20251209,KRX 자동차,2559.72,12215606,감소
137,20251209,KRX 헬스케어,4858.19,30994237,증가
138,20251210,KRX 건설,812.28,13777721,감소
139,20251210,KRX 자동차,2547.48,10938220,감소
140,20251210,KRX 헬스케어,4899.63,33119361,증가
141,20251211,KRX 건설,831.19,55445091,증가
142,20251211,KRX 자동차,2516.66,16310158,감소
143,20251211,KRX 헬스케어,4913.26,59600055,증가
144,20251212,KRX 건설,869.81,88902337,증가
145,20251212,KRX 자동차,2579.65,10633278,증가
146,20251212,KRX 헬스케어,4865.25,45320878,감소
147,20251215,KRX 건설,839.68,105706338,감소
148,20251215,KRX 자동차,2532.83,8977779,감소
149,20251215,KRX 헬스케어,4927.73,30104286,증가
150,20251216,KRX 건설,816.94,86006726,감소
151,20251216,KRX 자동차,2485.66,14758315,감소
152,20251216,KRX 헬스케어,4881.50,38287102,감소
153,20251217,KRX 건설,830.52,55711227,증가
154,20251217,KRX 자동차,2509.42,20114341,증가
155,20251217,KRX 헬스케어,4796.50,25323016,감소
156,20251218,KRX 건설,819.46,61044416,감소
157,20251218,KRX 자동차,2459.08,9597483,감소
158,20251218,KRX 헬스케어,4775.98,21146956,감소
159,20251219,KRX 건설,820.60,36010498,증가
160,20251219,KRX 자동차,2515.84,12805626,증가
161,20251219,KRX 헬스케어,4861.55,30167553,증가
162,20251222,KRX 건설,837.89,75585183,증가
163,20251222,KRX 자동차,2523.31,13166375,증가
164,20251222,KRX 헬스케어,4817.14,21023509,감소
165,20251223,KRX 건설,832.23,39911145,감소
166,20251223,KRX 자동차,2496.37,12396205,감소
167,20251223,KRX 헬스케어,4775.53,19799822,감소
168,20251224,KRX 건설,833.39,52730142,증가
169,20251224,KRX 자동차,2502.26,8634285,증가
170,20251224,KRX 헬스케어,4737.30,22673851,감소
171,20251226,KRX 건설,821.56,33118642,감소
172,20251226,KRX 자동차,2469.70,8059058,감소
173,20251226,KRX 헬스케어,4770.53,24416928,증가
