,날짜,종목명,종가(백만원),거래량(천주),전일대비
0,20251201,KRX 건설,776.06,17355,시작일
1,20251201,KRX 헬스케어,5017.1,29249,시작일
2,20251201,KRX 자동차,2294.57,11789,시작일
3,20251202,KRX 건설,785.34,9244,증가
4,20251202,KRX 헬스케어,4979.9,25087,감소
5,20251202,KRX 자동차,2376.2,24411,증가
6,20251203,KRX 건설,809.35,22793,증가
7,20251203,KRX 헬스케어,4978.88,34928,감소
8,20251203,KRX 자동차,2415.51,14140,증가
9,20251204,KRX 건설,799.81,17858,감소
10,20251204,KRX 헬스케어,4990.91,29785,증가
11,20251204,KRX 자동차,2486.75,21996,증가
12,20251205,KRX 헬스케어,4860.54,44557,증가
13,20251205,KRX 자동차,2607.52,22724,감소
14,20251205,KRX 건설,836.32,22471,감소
15,20251208,KRX 헬스케어,4806.33,36888,감소
16,20251208,KRX 자동차,2604.74,14134,감소
17,20251208,KRX 건설,822.35,29733,감소
18,20251209,KRX 건설,815.1,22556,감소
19,20251209,KRX 헬스케어,4858.19,30994,증가
20,20251209,KRX 자동차,2559.72,12216,증가
21,20251210,KRX 자동차,2547.48,10938,증가
22,20251210,KRX 건설,812.28,13778,감소
23,20251210,KRX 헬스케어,4899.63,33119,증가
24,20251211,KRX 건설,831.19,55445,감소
25,20251211,KRX 헬스케어,4913.26,59600,증가
26,20251211,KRX 자동차,2516.66,16310,감소
27,20251212,KRX 건설,869.81,88902,증가
28,20251212,KRX 자동차,2579.65,10633,감소
29,20251212,KRX 헬스케어,4865.25,45321,증가
30,20251215,KRX 건설,839.68,105706,감소
31,20251215,KRX 헬스케어,4927.73,30104,증가
32,20251215,KRX 자동차,2532.83,8978,감소
33,20251216,KRX 건설,816.94,86007,감소
34,20251216,KRX 헬스케어,4881.5,38287,감소
35,20251216,KRX 자동차,2485.66,14758,감소
36,20251217,KRX 자동차,2509.42,20114,증가
37,20251217,KRX 건설,830.52,55711,감소
38,20251217,KRX 헬스케어,4796.5,25323,증가
39,20251218,KRX 헬스케어,4775.98,21147,증가
40,20251218,KRX 자동차,2459.08,9597,증가
41,20251218,KRX 건설,819.46,61044,감소
42,20251219,KRX 건설,820.6,36010,감소
43,20251219,KRX 헬스케어,4861.55,30168,증가
44,20251219,KRX 자동차,2515.84,12806,증가
45,20251222,KRX 건설,837.89,75585,증가
46,20251222,KRX 헬스케어,4817.14,21024,감소
47,20251222,KRX 자동차,2523.31,13166,증가
48,20251223,KRX 헬스케어,4775.53,19800,증가
49,20251223,KRX 건설,832.23,39911,감소
50,20251223,KRX 자동차,2496.37,12396,감소
51,20251224,KRX 헬스케어,4737.3,21330,감소
52,20251224,KRX 건설,833.39,52466,증가
53,20251224,KRX 자동차,2502.26,8582,증가
